0	0	0	0	0	0	0	0	0	0
1	1	怪物1	1	500	50	40	5	6	1
2	2	怪物2	2	700	80	60	5	6	2
3	3	怪物3	3	900	110	80	9	10	3
4	4	怪物4	4	1100	140	100	1	2	4
5	5	怪物5	5	1300	170	120	1	2	5
6	1	怪物6	6	1500	200	140	1	2	6
7	2	怪物7	7	1700	230	160	1	2	7
8	3	怪物8	8	1900	260	180	1	2	8
9	4	怪物9	9	2100	290	200	1	2	9
10	5	怪物10	10	2300	320	220	1	2	10
11	1	怪物11	11	2500	350	240	1	2	11
12	2	怪物12	12	2700	380	260	1	2	12
13	3	怪物13	13	2900	410	280	1	2	13
14	4	怪物14	14	3100	440	300	1	2	14
15	5	怪物15	15	3300	470	320	1	2	15
16	1	怪物16	16	3500	500	340	1	2	16
17	2	怪物17	17	3700	530	360	1	2	17
18	3	怪物18	18	3900	560	380	1	2	18
19	4	怪物19	19	4100	590	400	1	2	19
20	5	怪物20	20	4300	620	420	1	2	20
